loc,longitude,latitude,year,date,gens,DD_vince,jd_vince,obsp,predict,moths,cumoths,dataset
3331,-119.3653336,35.6703186,2013,8/7/2013,2,1218,219,0.225054622,0.197070271,100,154.5,1
3331,-119.3653336,35.6703186,2013,8/14/2013,2,1285,226,0.367807716,0.353620529,98,252.5,1
3331,-119.3653336,35.6703186,2013,8/21/2013,2,1343,233,0.557174087,0.533480346,130,382.5,1
3331,-119.3653336,35.6703186,2013,8/28/2013,2,1404,240,0.760378718,0.742253363,139.5,522,1
3331,-119.3653336,35.6703186,2013,9/4/2013,2,1466,247,0.875455201,0.904194951,79,601,1
3331,-119.3653336,35.6703186,2013,9/18/2013,3,1594,261,0.168740273,0.135477856,108.5,108.5,1
3331,-119.3653336,35.6703186,2013,9/26/2013,3,1653,269,0.291601866,0.246477038,79,187.5,1
3331,-119.3653336,35.6703186,2013,10/2/2013,3,1699,275,0.465785384,0.371532917,112,299.5,1
3331,-119.3653336,35.6703186,2013,10/9/2013,3,1745,282,0.643856943,0.529749393,114.5,414,1
3331,-119.3653336,35.6703186,2013,10/16/2013,3,1785,289,0.781493008,0.679464638,88.5,502.5,1
3331,-119.3653336,35.6703186,2013,10/23/2013,3,1834,296,0.899688959,0.845535457,76,578.5,1
3341,-119.7864227,35.5635376,2013,3/20/2013,0,144,79,0.099910796,0.094118454,53,56,1
3341,-119.7864227,35.5635376,2013,3/27/2013,0,169,86,0.179304197,0.150173247,44.5,100.5,1
3341,-119.7864227,35.5635376,2013,4/3/2013,0,202,93,0.264049947,0.249026328,47.5,148,1
3341,-119.7864227,35.5635376,2013,4/10/2013,0,235,100,0.337198943,0.368437827,41,189,1
3341,-119.7864227,35.5635376,2013,4/17/2013,0,264,107,0.454950929,0.487842113,66,255,1
3341,-119.7864227,35.5635376,2013,4/24/2013,0,313,114,0.578055322,0.679146051,69,324,1
3341,-119.7864227,35.5635376,2013,5/1/2013,0,371,121,0.747546852,0.856916249,95,419,1
3341,-119.7864227,35.5635376,2013,5/8/2013,0,418,128,0.912578046,0.939873517,92.5,511.5,1
3341,-119.7864227,35.5635376,2013,7/31/2013,2,1179,212,0.122040071,0.134330004,67,67,1
3341,-119.7864227,35.5635376,2013,8/7/2013,2,1242,219,0.286885232,0.246476427,90.5,157.5,1
3341,-119.7864227,35.5635376,2013,8/14/2013,2,1313,226,0.458105654,0.436440945,94,251.5,1
3341,-119.7864227,35.5635376,2013,8/21/2013,2,1384,233,0.628415287,0.674185097,93.5,345,1
3341,-119.7864227,35.5635376,2013,8/28/2013,2,1462,240,0.830601096,0.895421147,111,456,1
3341,-119.7864227,35.5635376,2013,9/11/2013,3,1599,254,0.112627983,0.143679306,99,99,1
3341,-119.7864227,35.5635376,2013,9/18/2013,3,1666,261,0.228100121,0.277125537,101.5,200.5,1
3341,-119.7864227,35.5635376,2013,9/26/2013,3,1723,269,0.388509661,0.451377034,141,341.5,1
3341,-119.7864227,35.5635376,2013,10/2/2013,3,1765,275,0.551763356,0.606707215,143.5,485,1
3341,-119.7864227,35.5635376,2013,10/9/2013,3,1808,282,0.691695094,0.763705909,123,608,1
3341,-119.7864227,35.5635376,2013,10/16/2013,3,1846,289,0.82650739,0.878243685,118.5,726.5,1
3341,-119.7864227,35.5635376,2013,10/23/2013,3,1891,296,0.937997699,0.961418211,98,824.5,1
3380,-119.6947174,35.50262451,2013,9/4/2013,3,1552,247,0.127340823,0.085636392,102,102,1
3380,-119.6947174,35.50262451,2013,9/11/2013,3,1625,254,0.235330835,0.186714858,86.5,188.5,1
3380,-119.6947174,35.50262451,2013,9/18/2013,3,1693,261,0.352059931,0.351982325,93.5,282,1
3380,-119.6947174,35.50262451,2013,9/26/2013,3,1753,269,0.486891389,0.559154212,108,390,1
3380,-119.6947174,35.50262451,2013,10/2/2013,3,1797,275,0.601123571,0.723870575,91.5,481.5,1
3380,-119.6947174,35.50262451,2013,10/9/2013,3,1842,282,0.738451958,0.866239846,110,591.5,1
3380,-119.6947174,35.50262451,2013,10/16/2013,3,1881,289,0.836454451,0.948228121,78.5,670,1
3380,-119.6947174,35.50262451,2013,10/23/2013,3,1928,296,0.944444418,0.990178108,86.5,756.5,1
